space_time_id,direct_cost,indirect_cost_usd,value_at_risk,protection_costs
2023_3_29_-3.6247_12.0203,91000,35898.355068493154,126898.35506849315,2575.757575757576
2022_2_22_0.1141_11.3051,91000,71215.74082191782,162215.74082191783,2575.757575757576
2022_3_10_0.783_12.05,91000,44818.14246575342,135818.14246575342,2575.757575757576
2022_10_9_-0.5758_13.6334,91000,65897.18301369862,156897.1830136986,2575.757575757576
2022_10_16_-0.2834_12.7193,91000,57869.0498630137,148869.0498630137,2575.757575757576
2022_11_4_-4.2618_11.6412,91000,43675.90356164384,134675.90356164385,2575.757575757576
2023_2_16_-0.1311_12.7097,91000,106758.26958904111,197758.26958904113,2575.757575757576
2022_10_25_-3.5667_10.6833,91000,72443.30301369865,163443.30301369866,2575.757575757576
2022_11_1_-3.3928_11.555,91000,43700.71232876712,134700.7123287671,2575.757575757576
2023_2_26_1.6167_11.9333,91000,53434.73589041096,144434.73589041096,2575.757575757576
2020_7_8_0.9853_13.2535,91000,21115.459726027402,112115.4597260274,2575.757575757576
2022_4_14_-0.0244_12.5465,91000,147347.93260273975,238347.93260273975,2575.757575757576
2021_9_16_-4.078_12.0593,91000,57417.15287671232,148417.15287671232,2575.757575757576
2022_1_14_-2.7586_14.0445,91000,17445.062465753424,108445.06246575342,2575.757575757576
2022_8_25_-0.1167_12.25,91000,39428.40328767124,130428.40328767124,2575.757575757576
2022_1_24_-3.956_13.007,91000,44949.93041095891,135949.9304109589,2575.757575757576
2022_2_24_-0.9315_13.8543,91000,37121.86684931507,128121.86684931506,2575.757575757576
2022_5_8_-0.2131_13.2583,91000,243135.68712328767,334135.6871232877,2575.757575757576
2022_9_1_1.9187_11.8399,91000,68989.17698630136,159989.17698630138,2575.757575757576
2022_10_13_-3.3958_11.5096,91000,33871.63068493151,124871.6306849315,2575.757575757576
2022_2_7_-2.9112_13.315,91000,36077.3095890411,127077.3095890411,2575.757575757576
2022_6_19_-1.3722_13.3404,91000,65518.7802739726,156518.7802739726,2575.757575757576
2023_3_16_-0.4516_12.6905,91000,36617.970410958915,127617.97041095892,2575.757575757576
2022_2_20_-2.5458_13.5407,91000,120402.21698630138,211402.21698630138,2575.757575757576
2023_1_17_-2.9762_12.921,91000,38139.52109589041,129139.5210958904,2575.757575757576
2021_6_8_-1.8111_13.9786,91000,39813.59506849315,130813.59506849316,2575.757575757576
2022_12_21_1.6992_11.8606,91000,156872.50849315067,247872.50849315067,2575.757575757576
2022_12_26_-2.6051_12.9117,91000,49768.216438356176,140768.21643835618,2575.757575757576
2022_10_6_-3.0694_13.0725,91000,108678.62465753425,199678.62465753424,2575.757575757576
2022_10_29_-3.6869_11.6261,91000,51610.393972602746,142610.39397260273,2575.757575757576
2022_2_10_0.4331_12.0621,91000,438047.1698630138,529047.1698630138,2575.757575757576
2022_10_19_-2.4641_13.502,91000,932813.2454794521,1023813.2454794521,2575.757575757576
2023_2_12_0.01_11.2137,91000,135263.68109589044,226263.68109589044,2575.757575757576
2022_9_3_-2.6316_13.1,91000,24587.927671232876,115587.92767123287,2575.757575757576
2022_1_18_-2.5235_13.7202,91000,82127.7090410959,173127.70904109592,2575.757575757576
2022_10_6_-3.4833_11.65,91000,57196.76219178082,148196.7621917808,2575.757575757576
2023_3_29_-3.709_11.9633,91000,33820.26410958904,124820.26410958904,2575.757575757576
2021_12_12_-1.9651_13.6803,91000,57625.645479452054,148625.64547945204,2575.757575757576
2022_9_8_-4.3379_11.8982,91000,82604.34575342467,173604.34575342468,2575.757575757576
2022_11_3_-2.3679_13.6703,91000,225810.08876712332,316810.0887671233,2575.757575757576
2022_1_14_-2.3221_13.6553,91000,79733.14520547945,170733.14520547946,2575.757575757576
2021_3_5_-1.7004_13.9859,91000,60581.283287671235,151581.28328767122,2575.757575757576
2022_10_22_-0.4603_14.6755,91000,35220.09534246576,126220.09534246576,2575.757575757576
2022_12_31_-2.1806_11.6431,91000,38890.57315068493,129890.57315068494,2575.757575757576
2022_11_7_-2.5622_13.0281,91000,32266.045479452052,123266.04547945205,2575.757575757576
2022_3_31_0.5528_11.0142,91000,44436.09205479452,135436.0920547945,2575.757575757576
2022_1_30_-1.0309_13.2438,91000,85681.88712328768,176681.88712328768,2575.757575757576
2022_5_9_-0.1363_13.4072,91000,17197.803287671235,108197.80328767124,2575.757575757576
2022_1_18_-2.7605_13.6128,91000,26996.79452054795,117996.79452054795,2575.757575757576
2022_1_15_-0.719_14.6008,91000,25024.140821917812,116024.14082191781,2575.757575757576
2022_3_5_-2.8231_13.1219,91000,28634.426301369866,119634.42630136987,2575.757575757576
2022_2_16_0.1403_11.5013,91000,84376.4005479452,175376.4005479452,2575.757575757576
2022_10_15_-0.233_12.9348,91000,47115.78410958904,138115.78410958903,2575.757575757576
2022_10_16_-0.3747_12.8521,91000,39959.99671232877,130959.99671232878,2575.757575757576
2022_7_4_-2.7283_13.2395,91000,53349.7002739726,144349.7002739726,2575.757575757576
2022_10_30_-1.2239_13.1021,91000,86760.0098630137,177760.0098630137,2575.757575757576
2022_10_23_-4.6833_9.95,91000,24098.276712328767,115098.27671232876,2575.757575757576
2022_8_19_-4.1098_12.5496,91000,38672.66794520548,129672.66794520548,2575.757575757576
2022_2_4_-3.4088_12.9833,91000,82024.30849315069,173024.3084931507,2575.757575757576
2023_2_6_-0.3323_11.5747,91000,63301.68657534247,154301.68657534246,2575.757575757576
2022_11_24_-3.8473_10.4009,91000,52505.09753424658,143505.09753424657,2575.757575757576
2022_8_20_-0.0923_12.2985,91000,26247.284383561644,117247.28438356164,2575.757575757576
2022_2_7_-0.0569_11.3394,91000,44541.310684931515,135541.31068493152,2575.757575757576
2022_10_5_-1.1779_11.4389,91000,33666.014794520546,124666.01479452054,2575.757575757576
2022_11_1_-3.752_11.8669,91000,51157.426849315074,142157.42684931506,2575.757575757576
2022_3_30_-1.5387_13.4531,91000,89392.44328767125,180392.44328767125,2575.757575757576
2022_1_19_-3.4932_12.8258,91000,23785.704657534247,114785.70465753425,2575.757575757576
2022_10_16_-0.282_12.8424,91000,37757.551232876714,128757.55123287672,2575.757575757576
2022_2_9_0.7233_11.0811,91000,106866.91726027397,197866.91726027397,2575.757575757576
2022_10_3_-3.5553_11.1877,91000,21645.60328767123,112645.60328767123,2575.757575757576
2022_1_14_-2.071_13.7677,91000,89196.28602739726,180196.28602739726,2575.757575757576
2022_1_15_-1.6082_13.8317,91000,57278.6794520548,148278.67945205478,2575.757575757576
2023_3_15_-0.5225_13.3164,91000,84270.20383561644,175270.20383561644,2575.757575757576
2022_3_11_-1.6418_14.0875,91000,119935.69479452056,210935.69479452056,2575.757575757576
2022_10_7_-3.2579_11.4269,91000,73125.2104109589,164125.2104109589,2575.757575757576
2022_10_24_-0.3536_11.4974,91000,53329.62082191781,144329.6208219178,2575.757575757576
2022_10_22_-0.235_12.9818,91000,74914.83616438355,165914.83616438357,2575.757575757576
2019_12_18_-1.9551_13.8826,91000,33159.95506849315,124159.95506849315,2575.757575757576
2022_11_17_-0.2646_12.6256,91000,53945.69753424658,144945.69753424657,2575.757575757576
2022_2_15_-0.5868_13.49,91000,32893.7901369863,123893.7901369863,2575.757575757576
2022_9_1_1.8669_11.8752,91000,71686.68164383562,162686.68164383562,2575.757575757576
2022_2_21_-2.5921_13.3978,91000,80042.64493150685,171042.64493150683,2575.757575757576
2022_3_5_0.7075_11.2497,91000,41690.51178082192,132690.51178082192,2575.757575757576
2023_2_27_-1.3441_12.9876,91000,78594.04767123288,169594.0476712329,2575.757575757576
2022_3_2_1.7693_11.7302,91000,55207.11287671232,146207.11287671232,2575.757575757576
2021_8_3_0.7953_12.8801,91000,21924.736438356165,112924.73643835617,2575.757575757576
2022_12_18_0.0342_14.6387,91000,28182.816986301368,119182.81698630136,2575.757575757576
2022_2_21_1.562_12.5423,91000,34343.80273972603,125343.80273972603,2575.757575757576
2022_4_29_0.0283_13.3025,91000,33047.86684931507,124047.86684931506,2575.757575757576
2022_7_1_-0.4536_12.9648,91000,80418.81534246576,171418.81534246576,2575.757575757576
2022_2_6_-0.0636_11.6147,91000,67741.84602739726,158741.84602739726,2575.757575757576
2021_2_27_-1.4817_14.0664,91000,31620.787397260272,122620.78739726027,2575.757575757576
2022_10_14_-2.2078_13.549,91000,82851.15616438357,173851.15616438357,2575.757575757576
2022_2_24_-1.569_13.5406,91000,55313.0104109589,146313.0104109589,2575.757575757576
2022_1_16_-3.2_12.8166,91000,45432.97643835616,136432.97643835616,2575.757575757576
2022_5_6_-0.1496_13.3896,91000,20827.420273972606,111827.4202739726,2575.757575757576
2022_10_8_-3.535_11.2982,91000,41696.11561643836,132696.11561643836,2575.757575757576
2023_1_30_-0.3204_12.4845,91000,52139.88164383562,143139.88164383563,2575.757575757576
2021_11_22_0.9074_13.4411,91000,23967.43232876713,114967.43232876713,2575.757575757576
2022_2_23_-1.5475_13.4985,91000,35623.00767123288,126623.00767123289,2575.757575757576
2022_2_19_1.3169_12.4037,91000,32678.888219178087,123678.88821917809,2575.757575757576
2022_12_30_-1.165_13.1482,91000,198264.25643835618,289264.2564383562,2575.757575757576
2022_3_5_-2.8146_13.1271,91000,23987.949041095893,114987.9490410959,2575.757575757576
2022_9_8_-4.189_12.0804,91000,84734.49369863015,175734.49369863013,2575.757575757576
