space_time_id,pop,rwi,error,wealth
2022_10_23_-4.6833_9.95,1.249674806967535,-0.045,0.282,749.804884180521
2022_10_23_-4.6833_9.95,7.139070060691652,-0.045,0.282,4283.442036414991
2022_10_23_-4.6833_9.95,11.069597299247151,-0.366,0.283,5534.798649623575
2022_10_23_-4.6833_9.95,12.549155844558657,-0.366,0.283,6274.577922279328
2022_10_23_-4.6833_9.95,12.883178933247493,-0.366,0.283,6441.589466623746
2022_10_23_-4.6833_9.95,11.176244499593164,-0.235,0.3,5588.122249796582
2022_10_23_-4.6833_9.95,7.912765640632583,-0.235,0.3,3956.3828203162916
2022_10_23_-4.6833_9.95,2.650219785815927,-0.669,0.285,795.065935744778
2022_10_23_-4.6833_9.95,2.838062623345286,-0.497,0.282,1135.2250493381143
2022_10_23_-4.6833_9.95,13.877151902216566,-0.329,0.283,6938.575951108283
2022_10_23_-4.6833_9.95,21.96166139152283,-0.329,0.283,10980.830695761415
2022_10_23_-4.6833_9.95,22.318594469973025,-0.329,0.283,11159.297234986512
2022_10_23_-4.6833_9.95,21.51671199213197,-0.548,0.283,8606.684796852787
2022_10_23_-4.6833_9.95,21.74038852470589,-0.548,0.283,8696.155409882356
2022_10_23_-4.6833_9.95,20.741407468944725,-0.548,0.283,8296.56298757789
2022_10_23_-4.6833_9.95,20.2692783161339,-0.235,0.3,10134.63915806695
2022_10_23_-4.6833_9.95,20.76517677802257,-0.235,0.3,10382.588389011285
2022_10_23_-4.6833_9.95,20.8582348938607,-0.877,0.286,10429.11744693035
2022_10_23_-4.6833_9.95,14.472475186661224,-0.877,0.286,7236.237593330612
2022_10_23_-4.6833_9.95,4.774949394601902,-0.877,0.286,2387.474697300951
2022_10_23_-4.6833_9.95,8.94198208656946,-0.497,0.282,3576.792834627784
2022_10_23_-4.6833_9.95,25.4870242063798,-0.497,0.282,10194.80968255192
2022_10_23_-4.6833_9.95,32.430308209269725,-0.329,0.283,16215.154104634863
2022_10_23_-4.6833_9.95,32.57842753443732,-0.329,0.283,16289.213767218658
2022_10_23_-4.6833_9.95,27.216929332793622,-0.329,0.283,13608.46466639681
2022_10_23_-4.6833_9.95,22.880823762724948,-0.548,0.283,9152.32950508998
2022_10_23_-4.6833_9.95,22.440356119704763,-0.548,0.283,8976.142447881904
2022_10_23_-4.6833_9.95,22.65030906259704,-0.548,0.283,9060.123625038816
2022_10_23_-4.6833_9.95,20.9721856476607,-0.548,0.283,8388.874259064281
2022_10_23_-4.6833_9.95,20.851505334142068,-0.877,0.286,8340.602133656826
2022_10_23_-4.6833_9.95,19.98087759566104,-0.877,0.286,7992.351038264415
2022_10_23_-4.6833_9.95,19.09466185833727,-0.877,0.286,7637.864743334907
2022_10_23_-4.6833_9.95,19.376260794847617,-0.877,0.286,7750.504317939047
2022_10_23_-4.6833_9.95,11.528540627080355,-0.954,0.296,4611.416250832142
2022_10_23_-4.6833_9.95,0.634298836286939,-0.954,0.296,253.71953451477557
2022_10_23_-4.6833_9.95,11.707685691533085,-0.432,0.283,4683.074276613233
2022_10_23_-4.6833_9.95,23.99594039902148,-0.805,0.291,9598.376159608593
2022_10_23_-4.6833_9.95,37.39635537107959,-0.805,0.291,14958.542148431838
2022_10_23_-4.6833_9.95,42.395277515499785,-0.329,0.283,21197.638757749894
2022_10_23_-4.6833_9.95,39.20511682331179,-0.329,0.283,19602.558411655897
2022_10_23_-4.6833_9.95,37.76017045149766,-0.329,0.283,18880.08522574883
2022_10_23_-4.6833_9.95,28.66249997061296,-0.548,0.283,11464.999988245183
2022_10_23_-4.6833_9.95,23.75147474690069,-0.548,0.283,9500.589898760276
2022_10_23_-4.6833_9.95,24.14834513653664,-0.548,0.283,9659.338054614656
2022_10_23_-4.6833_9.95,22.07238937939489,-0.589,0.285,8828.955751757956
