space_time_id,pop,wealth_usd,wealth_cfa,usd_to_cfa
2011_4_15_-1.5247_12.3703,2449704.541163427,3273727439,5237959,0.0016
2019_12_18_-1.9551_13.8826,11079.204300225367,2881758,4606,0.0016
2019_4_19_-0.7166_14.0482,11657.656491330708,3109560,4972,0.0016
2020_5_11_0.5875_11.3512,12469.8407642928,3171039,5058,0.0016
2020_7_8_0.9853_13.2535,6602.373787846765,1835034,2937,0.0016
2021_11_22_0.9074_13.4411,9390.518617110163,2082884,3333,0.0016
2021_12_12_-1.9651_13.6803,18060.235538434943,5007943,8006,0.0016
2021_2_27_-1.4817_14.0664,11640.33963748664,2747997,4389,0.0016
2021_3_5_-1.7004_13.9859,18833.38171718823,5264802,8426,0.0016
2021_5_7_0.4199_13.9931,9459.431405979602,2368507,3793,0.0016
2021_6_8_-1.8111_13.9786,12665.340534242678,3459991,5525,0.0016
2021_8_3_0.7953_12.8801,7922.867169516711,1905364,3056,0.0016
2021_8_6_0.639_13.165,15003.581666254717,4148506,6632,0.0016
2021_9_16_-4.078_12.0593,17482.370648989847,4989824,7991,0.0016
2022_10_12_-2.3476_13.3857,25223.962838821986,7320801,11720,0.0016
2022_10_13_-3.3958_11.5096,11558.163832015063,2943606,4710,0.0016
2022_10_14_-2.2078_13.549,25080.31203498794,7200160,11528,0.0016
2022_10_15_-0.233_12.9348,12713.923137881018,4094586,6552,0.0016
2022_10_16_-0.282_12.8424,10197.24748154174,3281311,5247,0.0016
2022_10_16_-0.2834_12.7193,14785.665588338929,5029096,8046,0.0016
2022_10_16_-0.3747_12.8521,13054.990608125967,3472714,5557,0.0016
2022_10_19_-2.4641_13.502,74334.62297407865,81065913,129711,0.0016
2022_10_22_-0.235_12.9818,18329.178960800622,6510456,10415,0.0016
2022_10_22_-0.4603_14.6755,12408.176763431149,3060794,4899,0.0016
2022_10_23_-4.6833_9.95,7776.395596372385,2094255,3351,0.0016
2022_10_24_-0.3536_11.4974,17365.859967896282,4634598,7417,0.0016
2022_10_25_-3.5667_10.6833,22842.76661035286,6295668,10072,0.0016
2022_10_29_-3.6869_11.6261,17359.14565027512,4485189,7178,0.0016
2022_10_30_-1.2239_13.1021,26711.292572809474,7539858,12063,0.0016
2022_10_31_-0.36_11.3693,18686.900090834253,4902917,7845,0.0016
2022_10_3_-3.5553_11.1877,6543.501766919823,1881106,3010,0.0016
2022_10_5_-1.1779_11.4389,12231.561901104307,2925737,4686,0.0016
2022_10_6_-3.0694_13.0725,19009.84424327606,9444690,15105,0.0016
2022_10_6_-3.4779_11.1344,6785.074773578171,1620152,2589,0.0016
2022_10_6_-3.4833_11.65,19024.070735352132,4970671,7946,0.0016
2022_10_6_-3.5133_11.109,5184.763711984715,1385040,2220,0.0016
2022_10_7_-3.2579_11.4269,23588.559093378346,6354929,10168,0.0016
2022_10_8_-3.535_11.2982,13096.046729008322,3623591,5803,0.0016
2022_10_9_-0.5758_13.6334,23097.522970153997,5726779,9165,0.0016
2022_11_17_-0.2646_12.6256,15382.538947317913,4688138,7502,0.0016
2022_11_1_-3.3928_11.555,14464.48668999797,3797800,6073,0.0016
2022_11_1_-3.752_11.8669,16701.69062410483,4445824,7115,0.0016
2022_11_24_-3.8473_10.4009,17770.872913469997,4562943,7305,0.0016
2022_11_26_-3.6664_10.3116,12450.289453795625,3154560,5054,0.0016
2022_11_3_-2.3679_13.6703,37339.750458440605,19623972,31400,0.0016
2022_11_4_-4.2618_11.6412,14641.69252244317,3795644,6075,0.0016
2022_11_7_-2.5622_13.0281,12348.941091292681,2804073,4491,0.0016
2022_12_18_0.0342_14.6387,9443.916669060656,2449221,3910,0.0016
2022_12_21_1.6992_11.8606,41531.77764147003,13632968,21804,0.0016
2022_12_25_-0.6829_11.2846,26238.963595670397,6829853,10921,0.0016
2022_12_26_-2.6051_12.9117,17232.1430136919,4325095,6928,0.0016
2022_12_30_-1.165_13.1482,40368.96114707528,17230108,27566,0.0016
2022_12_31_-2.1806_11.6431,14090.21421154709,3379776,5410,0.0016
2022_12_4_-2.6333_11.2666,20496.210593116833,4339503,6938,0.0016
2022_1_14_-2.071_13.7677,22363.79394982213,7751582,12386,0.0016
2022_1_14_-2.3221_13.6553,15091.709488648228,6929190,11084,0.0016
2022_1_14_-2.7586_14.0445,5800.560420191398,1516059,2431,0.0016
2022_1_15_-0.719_14.6008,8024.879669749212,2174717,3467,0.0016
2022_1_15_-1.6082_13.8317,18039.517944340263,4977790,7969,0.0016
2022_1_16_-3.2_12.8166,14014.139498351553,3948342,6317,0.0016
2022_1_18_-2.5235_13.7202,23555.284803661816,7137289,11418,0.0016
2022_1_18_-2.7605_13.6128,8502.760250809455,2346150,3757,0.0016
2022_1_19_-3.4932_12.8258,8613.979799416136,2067091,3313,0.0016
2022_1_24_-3.956_13.007,11130.530106811402,3906363,6255,0.0016
2022_1_26_0.8333_11.1574,12453.169259263133,3730943,5975,0.0016
2022_1_28_0.6079_12.0249,15578.482821012814,4492172,7193,0.0016
2022_1_30_-1.0309_13.2438,28086.720904644375,7446164,11917,0.0016
2022_2_10_0.1526_12.4178,12868.209382613906,3141149,5030,0.0016
2022_2_10_0.4331_12.0621,46925.7172268864,38068385,60909,0.0016
2022_2_15_-0.5868_13.49,10284.315146383979,2858627,4576,0.0016
2022_2_16_0.1403_11.5013,28306.351172860428,7332711,11746,0.0016
2022_2_19_1.3169_12.4037,9002.175545503149,2839951,4539,0.0016
2022_2_20_-0.541_13.4151,9182.919886485537,2491427,3982,0.0016
2022_2_20_-2.5458_13.5407,25277.499543047772,10463526,16742,0.0016
2022_2_21_-2.5921_13.3978,23417.142121501656,6956087,11132,0.0016
2022_2_21_1.562_12.5423,10949.873968641223,2984640,4780,0.0016
2022_2_22_0.1141_11.3051,24281.95308267159,6188987,9911,0.0016
2022_2_23_-1.5475_13.4985,10458.46299011012,3095809,4951,0.0016
2022_2_24_-0.9315_13.8543,12762.826379730854,3226067,5170,0.0016
2022_2_24_-1.569_13.5406,16052.533410622269,4806964,7695,0.0016
2022_2_3_-3.472_12.6004,16932.525262307387,4467920,7151,0.0016
2022_2_4_-3.2974_13.0747,10100.183589078737,2991725,4784,0.0016
2022_2_4_-3.4088_12.9833,23490.317741663726,7128303,11403,0.0016
2022_2_4_-3.4151_13.169,19587.743598302503,7241455,11580,0.0016
2022_2_6_-0.0636_11.6147,22032.301577730294,5887089,9414,0.0016
2022_2_6_-3.8195_10.0524,22882.902915661773,6695291,10722,0.0016
2022_2_7_-0.0569_11.3394,14731.015674394372,3870852,6185,0.0016
2022_2_7_-2.9112_13.315,12613.31733707726,3135290,5004,0.0016
2022_2_7_0.3386_12.2975,11009.710798086106,2972316,4768,0.0016
2022_2_9_0.7233_11.0811,24466.742786629202,9287244,14860,0.0016
2022_3_10_0.783_12.05,13302.286360992217,3894910,6242,0.0016
2022_3_11_-1.6418_14.0875,32652.848291751827,10422983,16676,0.0016
2022_3_24_-2.3336_13.6758,10556.741536308899,4686675,7501,0.0016
2022_3_2_1.7693_11.7302,18930.233758294104,4797761,7681,0.0016
2022_3_30_-1.5387_13.4531,26516.84822503566,7768629,12437,0.0016
2022_3_31_0.5528_11.0142,15077.482385650132,3861708,6179,0.0016
2022_3_5_-2.8146_13.1271,6338.598594432278,2084667,3334,0.0016
2022_3_5_-2.8231_13.1219,6407.289253764743,2488468,3984,0.0016
2022_3_5_0.7075_11.2497,13050.092538819274,3623104,5792,0.0016
2022_4_14_-0.0244_12.5465,39794.77573958884,12805237,20497,0.0016
2022_4_29_0.0283_13.3025,11447.870075973668,2872017,4596,0.0016
2022_5_6_-0.1496_13.3896,6240.770066066568,1810002,2896,0.0016
2022_5_8_-0.2131_13.2583,66000.01602737415,21129649,33816,0.0016
2022_5_9_-0.1363_13.4072,5721.440620905919,1494571,2388,0.0016
2022_6_19_-1.3722_13.3404,20743.59972647,5693894,9107,0.0016
2022_6_29_0.5264_13.4417,17187.310939550185,4709368,7522,0.0016
2022_7_1_-0.4536_12.9648,22663.093362626096,6988778,11184,0.0016
2022_7_26_0.505_11.703,15578.776647309744,4082899,6528,0.0016
2022_7_4_-2.7283_13.2395,15921.899265175272,4636343,7417,0.0016
2022_8_19_-0.2017_12.288,17050.721558018777,4621763,7395,0.0016
2022_8_19_-4.1098_12.5496,12723.13107464009,3360839,5367,0.0016
2022_8_20_-0.0923_12.2985,8023.440739495635,2281014,3652,0.0016
2022_8_25_-0.1167_12.25,11586.272110094727,3426516,5479,0.0016
2022_8_29_-4.09_12.18,28268.900356166043,8492827,13585,0.0016
2022_9_1_1.8669_11.8752,23781.803162138436,6229914,9968,0.0016
2022_9_1_1.9187_11.8399,23718.558584680904,5995488,9596,0.0016
2022_9_3_-2.5999_13.0998,8244.803974797847,2325255,3717,0.0016
2022_9_3_-2.6316_13.1,8350.527075727357,2136808,3418,0.0016
2022_9_8_-4.189_12.0804,24980.35557184284,7363831,11783,0.0016
2022_9_8_-4.3379_11.8982,26671.98593047646,7178711,11484,0.0016
2023_1_17_-2.9762_12.921,11859.554459144327,3314506,5302,0.0016
2023_1_30_-0.3204_12.4845,16077.912259411236,4531204,7248,0.0016
2023_2_12_0.01_11.2137,32999.69225330353,11755058,18798,0.0016
2023_2_16_-0.1311_12.7097,30137.182315719234,9277802,14846,0.0016
2023_2_26_1.6167_11.9333,17308.15083252092,4643733,7430,0.0016
2023_2_27_-1.3441_12.9876,25546.371599078353,6830197,10934,0.0016
2023_2_6_-0.3323_11.5747,19880.523440863584,5501218,8814,0.0016
2023_3_15_-0.5225_13.3164,24266.53776602461,7323482,11712,0.0016
2023_3_16_-0.4516_12.6905,10947.240172040563,3182276,5093,0.0016
2023_3_29_-0.5413_12.7226,30790.450218984184,13822820,22122,0.0016
2023_3_29_-3.6247_12.0203,12473.205670320272,3119738,5002,0.0016
2023_3_29_-3.709_11.9633,11469.856312600938,2939142,4702,0.0016
