space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,1.249674806967535,-0.045,0.282,497,1,0.0016
2022_10_23_-4.6833_9.95,7.139070060691652,-0.045,0.282,2841,5,0.0016
2022_10_23_-4.6833_9.95,11.069597299247151,-0.366,0.283,3110,5,0.0016
2022_10_23_-4.6833_9.95,12.549155844558657,-0.366,0.283,3526,6,0.0016
2022_10_23_-4.6833_9.95,12.883178933247493,-0.366,0.283,3620,6,0.0016
2022_10_23_-4.6833_9.95,11.176244499593164,-0.235,0.3,3140,5,0.0016
2022_10_23_-4.6833_9.95,7.912765640632583,-0.235,0.3,2223,4,0.0016
2022_10_23_-4.6833_9.95,2.650219785815927,-0.669,0.285,477,1,0.0016
2022_10_23_-4.6833_9.95,2.838062623345286,-0.497,0.282,797,1,0.0016
2022_10_23_-4.6833_9.95,13.877151902216566,-0.329,0.283,3899,6,0.0016
2022_10_23_-4.6833_9.95,21.96166139152283,-0.329,0.283,6171,10,0.0016
2022_10_23_-4.6833_9.95,22.318594469973025,-0.329,0.283,6271,10,0.0016
2022_10_23_-4.6833_9.95,21.51671199213197,-0.548,0.283,6046,10,0.0016
2022_10_23_-4.6833_9.95,21.74038852470589,-0.548,0.283,6109,10,0.0016
2022_10_23_-4.6833_9.95,20.741407468944725,-0.548,0.283,5828,9,0.0016
2022_10_23_-4.6833_9.95,20.2692783161339,-0.235,0.3,5695,9,0.0016
2022_10_23_-4.6833_9.95,20.76517677802257,-0.235,0.3,5835,9,0.0016
2022_10_23_-4.6833_9.95,20.8582348938607,-0.877,0.286,3754,6,0.0016
2022_10_23_-4.6833_9.95,14.472475186661224,-0.877,0.286,2605,4,0.0016
2022_10_23_-4.6833_9.95,4.774949394601902,-0.877,0.286,859,1,0.0016
2022_10_23_-4.6833_9.95,8.94198208656946,-0.497,0.282,2512,4,0.0016
2022_10_23_-4.6833_9.95,25.4870242063798,-0.497,0.282,7161,11,0.0016
2022_10_23_-4.6833_9.95,32.430308209269725,-0.329,0.283,9112,15,0.0016
2022_10_23_-4.6833_9.95,32.57842753443732,-0.329,0.283,9154,15,0.0016
