space_time_id,direct_cost,indirect_cost_usd,value_at_risk,protection_costs
2023_3_3_-3.0788_14.3992,91000,67736.50684931506,158736.50684931508,8636.363636363636
2022_1_15_-4.466_13.0179,91000,65335.096438356166,156335.09643835615,8636.363636363636
2017_8_22_-3.7478_16.1289,91000,197855.4065753425,288855.4065753425,8636.363636363636
2022_1_16_-3.6264_13.7407,91000,97347.19726027398,188347.19726027397,8636.363636363636
2022_1_21_-3.0063_14.1333,91000,81723.25479452056,172723.25479452056,8636.363636363636
2020_2_12_0.8908_15.5821,91000,22660.28876712329,113660.28876712329,8636.363636363636
2022_5_3_-5.6052_14.9822,91000,10110.021369863016,101110.02136986301,8636.363636363636
2022_4_25_-3.7893_14.0914,91000,49161.310684931515,140161.31068493152,8636.363636363636
2022_1_19_-2.9725_14.2333,91000,42800.88821917809,133800.88821917807,8636.363636363636
2022_1_19_-4.9589_12.1623,91000,111788.71890410958,202788.71890410958,8636.363636363636
2021_9_28_-4.9118_15.7118,91000,89539.76547945206,180539.76547945206,8636.363636363636
2019_6_26_-2.1354_14.2793,91000,75090.35013698631,166090.3501369863,8636.363636363636
2022_1_16_-3.8308_13.3821,91000,37893.861369863014,128893.861369863,8636.363636363636
2022_4_17_-4.6738_12.8592,91000,58085.72383561643,149085.72383561643,8636.363636363636
2021_12_20_-2.2198_15.0766,91000,35280.552328767124,126280.55232876712,8636.363636363636
2021_10_15_-3.9728_16.6877,91000,14077.997260273973,105077.99726027397,8636.363636363636
2012_5_1_-8.0722_12.7482,91000,1894183.5797260273,1985183.5797260273,8636.363636363636
2023_3_1_-3.0552_14.3089,91000,65593.24109589042,156593.2410958904,8636.363636363636
2021_7_25_-3.766_13.5025,91000,101764.4005479452,192764.4005479452,8636.363636363636
2022_5_17_3.0224_15.422,91000,29503.849315068495,120503.8493150685,8636.363636363636
2022_1_16_-3.4418_13.8162,91000,77982.43561643836,168982.43561643836,8636.363636363636
2021_8_13_-0.4769_16.2036,91000,3516.9304109589048,94516.9304109589,8636.363636363636
2021_7_10_-3.709_13.6185,91000,89374.49260273973,180374.49260273972,8636.363636363636
2022_1_18_-2.9051_14.4111,91000,40507.50410958904,131507.50410958903,8636.363636363636
2020_6_24_0.7464_15.3217,91000,13938.327123287672,104938.32712328767,8636.363636363636
2022_1_30_-5.2547_14.8252,91000,13044.19890410959,104044.1989041096,8636.363636363636
2021_8_19_-4.3618_12.7903,91000,34507.004383561645,125507.00438356164,8636.363636363636
2022_8_16_-1.9231_16.8778,91000,69045.42246575344,160045.42246575345,8636.363636363636
2021_9_27_-4.2628_15.3684,91000,69196.03561643836,160196.03561643837,8636.363636363636
2022_3_10_-3.2359_16.09,91000,46021.36767123288,137021.36767123287,8636.363636363636
2022_9_7_1.5167_16.5333,91000,11762.255342465753,102762.25534246575,8636.363636363636
2021_3_16_-2.8059_14.3467,91000,33290.54630136987,124290.54630136988,8636.363636363636
2022_5_9_0.549_15.4992,91000,27070.73753424658,118070.73753424658,8636.363636363636
2022_1_19_-0.6354_16.92,91000,14015.630136986301,105015.6301369863,8636.363636363636
2017_10_23_-4.4005_13.6933,91000,55250.976986301364,146250.97698630136,8636.363636363636
2021_8_13_-3.9484_15.2615,91000,63507.45205479453,154507.45205479453,8636.363636363636
2022_1_12_-0.1061_16.6053,91000,64904.93589041096,155904.93589041097,8636.363636363636
2022_5_2_-4.6745_13.1361,91000,52200.0394520548,143200.0394520548,8636.363636363636
2020_11_28_0.6941_15.4729,91000,19912.982465753426,110912.98246575342,8636.363636363636
2015_12_17_-3.0056_16.7705,91000,921647.0104109589,1012647.0104109589,8636.363636363636
2020_12_31_-3.6102_14.3493,91000,275792.40164383565,366792.40164383565,8636.363636363636
2022_1_21_-2.9517_14.9951,91000,409429.07178082195,500429.07178082195,8636.363636363636
2022_3_3_-1.7481_16.9494,91000,47694.498082191785,138694.4980821918,8636.363636363636
2023_3_10_-6.7275_14.1137,91000,5899.400547945206,96899.4005479452,8636.363636363636
