space_time_id,pop,rwi,error,lon_tile,lat_tile
2022_1_19_-4.9589_12.1623,0.004428512235169,-0.237,0.275,-553038.203252481,1374129.4981835715
2022_1_19_-4.9589_12.1623,0.71700120666609,-0.472,0.260,-552324.3140763986,1374158.8355528605
2022_1_19_-4.9589_12.1623,0.86278501602442,-0.472,0.260,-551828.3394983571,1374161.993754325
2022_1_19_-4.9589_12.1623,0.048576588135063,-0.472,0.260,-551088.1958424635,1374131.2452486688
2022_1_19_-4.9589_12.1623,3.22386838748618,-0.692,0.259,-555959.5416920118,1373300.0893228576
2022_1_19_-4.9589_12.1623,13.72075151641359,-0.692,0.259,-555124.1389676264,1373596.057246863
2022_1_19_-4.9589_12.1623,18.329785968922376,-0.237,0.275,-554417.4433847598,1373470.8783655376
2022_1_19_-4.9589_12.1623,23.5846276109025,-0.237,0.275,-553489.7809651932,1373586.0653686975
2022_1_19_-4.9589_12.1623,26.28962906840881,-0.472,0.260,-552562.1185456265,1373651.2329515442
2022_1_19_-4.9589_12.1623,25.032371497325386,-0.472,0.260,-551634.4561260599,1373651.2329515442
2022_1_19_-4.9589_12.1623,20.704284725768254,-0.472,0.260,-550706.7937064932,1373597.348440981
2022_1_19_-4.9589_12.1623,15.727949152076958,-0.472,0.260,-549779.1312869266,1373489.9314596364
2022_1_19_-4.9589_12.1623,9.739760123283993,-0.889,0.276,-548851.4688673599,1373334.483084668
2022_1_19_-4.9589_12.1623,2.523341371078317,-0.889,0.276,-548160.9685385958,1373300.0893228576
2022_1_19_-4.9589_12.1623,1.434454001597019,-0.520,0.259,-557734.3994630615,1372331.408663271
2022_1_19_-4.9589_12.1623,34.1864936007187,-0.692,0.259,-556946.9308814973,1372751.6120825664
2022_1_19_-4.9589_12.1623,47.127992188776425,-0.692,0.259,-556272.768223893,1372615.5603793552
2022_1_19_-4.9589_12.1623,37.61358087032032,-0.692,0.259,-555345.1058043265,1372701.9880186024
2022_1_19_-4.9589_12.1623,36.779277282807556,-0.237,0.275,-554417.4433847598,1372701.9880186024
2022_1_19_-4.9589_12.1623,35.775635313934956,-0.237,0.275,-553489.7809651932,1372701.9880186024
2022_1_19_-4.9589_12.1623,36.381887008077655,-0.472,0.260,-552562.1185456265,1372701.9880186024
2022_1_19_-4.9589_12.1623,32.737138006976856,-0.472,0.260,-551634.4561260599,1372701.9880186024
2022_1_19_-4.9589_12.1623,28.364729767530164,-0.472,0.260,-550706.7937064932,1372701.9880186024
2022_1_19_-4.9589_12.1623,23.28066666805035,-0.520,0.372,-549779.1312869266,1372701.9880186024
2022_1_19_-4.9589_12.1623,20.800627940695225,-0.520,0.372,-548851.4688673599,1372701.9880186024
2022_1_19_-4.9589_12.1623,18.768497768853056,-0.889,0.276,-547923.8064477934,1372651.5618363544
2022_1_19_-4.9589_12.1623,11.78203271144199,-0.889,0.276,-547190.1297052421,1372771.4517346453
2022_1_19_-4.9589_12.1623,1.600648105044377,-0.889,0.276,-546407.6949246167,1372363.4247438782
2022_1_19_-4.9589_12.1623,10.30397966161576,-0.233,0.320,-558711.10788856,1371494.2158284914
2022_1_19_-4.9589_12.1623,42.676633506196296,-0.233,0.320,-558071.6509289241,1371812.5717488555
2022_1_19_-4.9589_12.1623,136.59420503379746,-0.128,0.328,-557200.4306434597,1371752.7730288152
2022_1_19_-4.9589_12.1623,143.99419196700845,-0.128,0.328,-556272.768223893,1371752.7730288152
2022_1_19_-4.9589_12.1623,65.15994021050194,-0.128,0.328,-555345.1058043265,1371752.7730288152
2022_1_19_-4.9589_12.1623,50.4258729458703,-0.184,0.373,-554417.4433847598,1371752.7730288152
2022_1_19_-4.9589_12.1623,90.45034658356262,-0.184,0.373,-553489.7809651932,1371752.7730288152
2022_1_19_-4.9589_12.1623,120.33285866862208,-0.214,0.298,-552562.1185456265,1371752.7730288152
2022_1_19_-4.9589_12.1623,66.08850413742624,-0.214,0.298,-551634.4561260599,1371752.7730288152
2022_1_19_-4.9589_12.1623,39.48159483538221,-0.214,0.298,-550706.7937064932,1371752.7730288152
2022_1_19_-4.9589_12.1623,32.644869012197276,-0.520,0.372,-549779.1312869266,1371752.7730288152
2022_1_19_-4.9589_12.1623,27.66034341502407,-0.520,0.372,-548851.4688673599,1371752.7730288152
2022_1_19_-4.9589_12.1623,24.158845678798368,-0.520,0.372,-547923.8064477934,1371752.7730288152
2022_1_19_-4.9589_12.1623,25.911814834552626,-0.575,0.325,-546996.1440282267,1371752.7730288152
2022_1_19_-4.9589_12.1623,37.37427071807474,-0.575,0.325,-546068.4816086602,1371563.1570630586
2022_1_19_-4.9589_12.1623,8.98341564647169,-0.764,0.386,-545447.4345625867,1371563.1570630586
2022_1_19_-4.9589_12.1623,18.973032080062474,-0.233,0.320,-559577.7718763801,1370657.1070788861
2022_1_19_-4.9589_12.1623,119.78523971386649,-0.233,0.320,-558949.1814861563,1371020.6745640012
2022_1_19_-4.9589_12.1623,148.50918475908318,-0.233,0.320,-558128.0930630263,1370803.587960214
2022_1_19_-4.9589_12.1623,447.8648624046513,-0.128,0.328,-557200.4306434597,1370803.587960214
2022_1_19_-4.9589_12.1623,485.27490549876575,-0.128,0.328,-556272.768223893,1370803.587960214
2022_1_19_-4.9589_12.1623,137.5656411430292,-0.128,0.328,-555345.1058043265,1370803.587960214
2022_1_19_-4.9589_12.1623,57.386466751343406,-0.184,0.373,-554417.4433847598,1370803.587960214
2022_1_19_-4.9589_12.1623,147.11142169735095,-0.184,0.373,-553489.7809651932,1370803.587960214
2022_1_19_-4.9589_12.1623,205.24097951819604,-0.214,0.298,-552562.1185456265,1370803.587960214
2022_1_19_-4.9589_12.1623,148.67806909308533,-0.214,0.298,-551634.4561260599,1370803.587960214
2022_1_19_-4.9589_12.1623,44.08386627952739,-0.214,0.298,-550706.7937064932,1370803.587960214
2022_1_19_-4.9589_12.1623,37.357600948007644,-0.520,0.372,-549779.1312869266,1370803.587960214
2022_1_19_-4.9589_12.1623,41.446012558725435,-0.520,0.372,-548851.4688673599,1370803.587960214
2022_1_19_-4.9589_12.1623,52.778362978272924,-0.520,0.372,-547923.8064477934,1370803.587960214
2022_1_19_-4.9589_12.1623,49.61481478198487,-0.575,0.325,-546996.1440282267,1370803.587960214
2022_1_19_-4.9589_12.1623,50.65401772730781,-0.575,0.325,-546068.4816086602,1370803.587960214
2022_1_19_-4.9589_12.1623,59.195420353172686,-0.764,0.386,-545140.8191890935,1370641.1760619986
2022_1_19_-4.9589_12.1623,18.955664821134274,-0.764,0.386,-544580.7705747668,1370741.0311931162
2022_1_19_-4.9589_12.1623,1.178418082925295,-0.592,0.297,-560473.7029813193,1369468.134342107
2022_1_19_-4.9589_12.1623,53.599004141188765,-0.233,0.320,-559819.1334025478,1370034.7427788624
2022_1_19_-4.9589_12.1623,47.25105555441458,-0.233,0.320,-559055.755482593,1369854.4327908354
2022_1_19_-4.9589_12.1623,125.08630915317387,-0.233,0.320,-558128.0930630263,1369854.4327908354
2022_1_19_-4.9589_12.1623,377.9303059820827,-0.128,0.328,-557200.4306434597,1369854.4327908354
2022_1_19_-4.9589_12.1623,396.98743637653865,-0.128,0.328,-556272.768223893,1369854.4327908354
2022_1_19_-4.9589_12.1623,96.39440921608347,-0.128,0.328,-555345.1058043265,1369854.4327908354
2022_1_19_-4.9589_12.1623,51.226090737306635,-0.184,0.373,-554417.4433847598,1369854.4327908354
2022_1_19_-4.9589_12.1623,75.211122910691,-0.184,0.373,-553489.7809651932,1369854.4327908354
2022_1_19_-4.9589_12.1623,106.99455005992446,-0.214,0.298,-552562.1185456265,1369854.4327908354
2022_1_19_-4.9589_12.1623,93.03317267645062,-0.214,0.298,-551634.4561260599,1369854.4327908354
2022_1_19_-4.9589_12.1623,52.79747505011007,-0.214,0.298,-550706.7937064932,1369854.4327908354
2022_1_19_-4.9589_12.1623,57.07303964504981,-0.520,0.372,-549779.1312869266,1369854.4327908354
2022_1_19_-4.9589_12.1623,67.1726631219573,-0.520,0.372,-548851.4688673599,1369854.4327908354
2022_1_19_-4.9589_12.1623,60.77319635156739,-0.520,0.372,-547923.8064477934,1369854.4327908354
2022_1_19_-4.9589_12.1623,60.7336098741854,-0.575,0.325,-546996.1440282267,1369854.4327908354
2022_1_19_-4.9589_12.1623,61.91122864516874,-0.575,0.325,-546068.4816086602,1369854.4327908354
2022_1_19_-4.9589_12.1623,70.31912639591643,-0.764,0.386,-545140.8191890935,1369854.4327908354
2022_1_19_-4.9589_12.1623,87.6684401381508,-0.764,0.386,-544311.8265250609,1370062.9220075286
2022_1_19_-4.9589_12.1623,11.125627402295558,-0.764,0.386,-543674.3897728266,1369560.1726662335
2022_1_19_-4.9589_12.1623,45.76591101571969,-0.794,0.269,-560572.2495878956,1369139.3051852654
2022_1_19_-4.9589_12.1623,43.10819643915801,-0.567,0.261,-559983.4179021596,1368905.3074987186
2022_1_19_-4.9589_12.1623,52.76272747543808,-0.567,0.261,-559055.755482593,1368905.3074987186
2022_1_19_-4.9589_12.1623,45.320260566843096,-0.567,0.261,-558128.0930630263,1368905.3074987186
2022_1_19_-4.9589_12.1623,64.53212957680975,-0.634,0.262,-557200.4306434597,1368905.3074987186
2022_1_19_-4.9589_12.1623,66.70922999651232,-0.634,0.262,-556272.768223893,1368905.3074987186
2022_1_19_-4.9589_12.1623,40.19319720640905,-0.634,0.262,-555345.1058043265,1368905.3074987186
2022_1_19_-4.9589_12.1623,38.40769703344682,-0.781,0.263,-554417.4433847598,1368905.3074987186
2022_1_19_-4.9589_12.1623,36.35196535069493,-0.781,0.263,-553489.7809651932,1368905.3074987186
2022_1_19_-4.9589_12.1623,50.13272780472986,-0.730,0.262,-552562.1185456265,1368905.3074987186
2022_1_19_-4.9589_12.1623,153.83017195327582,-0.730,0.262,-551634.4561260599,1368905.3074987186
2022_1_19_-4.9589_12.1623,141.66793361622325,-0.730,0.262,-550706.7937064932,1368905.3074987186
2022_1_19_-4.9589_12.1623,83.60200092626002,-0.351,0.277,-549779.1312869266,1368905.3074987186
2022_1_19_-4.9589_12.1623,179.57252942525434,-0.351,0.277,-548851.4688673599,1368905.3074987186
2022_1_19_-4.9589_12.1623,78.41304407776077,-0.351,0.277,-547923.8064477934,1368905.3074987186
2022_1_19_-4.9589_12.1623,97.9896372930337,-0.236,0.276,-546996.1440282267,1368905.3074987186
2022_1_19_-4.9589_12.1623,67.9846697901187,-0.236,0.276,-546068.4816086602,1368905.3074987186
2022_1_19_-4.9589_12.1623,72.76554206155572,-0.712,0.372,-545140.8191890935,1368905.3074987186
2022_1_19_-4.9589_12.1623,78.64152065788723,-0.712,0.372,-544213.1567695269,1368905.3074987186
2022_1_19_-4.9589_12.1623,52.98379251686699,-0.712,0.372,-543548.260642712,1369139.3051852654
2022_1_19_-4.9589_12.1623,0.455237741511669,-0.794,0.269,-561393.8420396718,1367587.4863891755
2022_1_19_-4.9589_12.1623,46.082602619442305,-0.794,0.269,-560882.6069938182,1367852.4578107414
2022_1_19_-4.9589_12.1623,74.64481327927767,-0.567,0.261,-559983.4179021596,1367956.2120619072
2022_1_19_-4.9589_12.1623,103.49339192748772,-0.567,0.261,-559055.755482593,1367956.2120619072
2022_1_19_-4.9589_12.1623,41.46589893315835,-0.567,0.261,-558128.0930630263,1367956.2120619072
2022_1_19_-4.9589_12.1623,41.42907568240826,-0.634,0.262,-557200.4306434597,1367956.2120619072
2022_1_19_-4.9589_12.1623,36.06642278641387,-0.634,0.262,-556272.768223893,1367956.2120619072
2022_1_19_-4.9589_12.1623,31.745413809344562,-0.634,0.262,-555345.1058043265,1367956.2120619072
2022_1_19_-4.9589_12.1623,29.136094885620047,-0.781,0.263,-554417.4433847598,1367956.2120619072
2022_1_19_-4.9589_12.1623,36.40020654501442,-0.781,0.263,-553489.7809651932,1367956.2120619072
2022_1_19_-4.9589_12.1623,50.75948758367721,-0.730,0.262,-552562.1185456265,1367956.2120619072
2022_1_19_-4.9589_12.1623,121.36387269712644,-0.730,0.262,-551634.4561260599,1367956.2120619072
2022_1_19_-4.9589_12.1623,90.48795310185572,-0.730,0.262,-550706.7937064932,1367956.2120619072
2022_1_19_-4.9589_12.1623,66.92146221476442,-0.351,0.277,-549779.1312869266,1367956.2120619072
2022_1_19_-4.9589_12.1623,95.34597565566573,-0.351,0.277,-548851.4688673599,1367956.2120619072
2022_1_19_-4.9589_12.1623,119.3771636077545,-0.351,0.277,-547923.8064477934,1367956.2120619072
2022_1_19_-4.9589_12.1623,183.19266321204182,-0.236,0.276,-546996.1440282267,1367956.2120619072
2022_1_19_-4.9589_12.1623,194.54728252393957,-0.236,0.276,-546068.4816086602,1367956.2120619072
2022_1_19_-4.9589_12.1623,127.66702983920426,-0.712,0.372,-545140.8191890935,1367956.2120619072
2022_1_19_-4.9589_12.1623,160.44363237047517,-0.712,0.372,-544213.1567695269,1367956.2120619072
2022_1_19_-4.9589_12.1623,212.61468089006962,-0.712,0.372,-543285.4943499602,1367787.0638471
2022_1_19_-4.9589_12.1623,12.794767118129474,-0.378,0.339,-542755.1415188436,1367746.6432261495
2022_1_19_-4.9589_12.1623,11.728092773414271,-0.927,0.260,-561518.0241040331,1366810.1241044588
2022_1_19_-4.9589_12.1623,49.164940750547714,-0.927,0.260,-560911.0803217262,1367007.146458446
2022_1_19_-4.9589_12.1623,49.59739548552843,-0.865,0.286,-559983.4179021596,1367007.146458446
2022_1_19_-4.9589_12.1623,43.20801665590383,-0.865,0.286,-559055.755482593,1367007.146458446
2022_1_19_-4.9589_12.1623,39.64033394067832,-0.865,0.286,-558128.0930630263,1367007.146458446
2022_1_19_-4.9589_12.1623,31.814087428648648,-0.634,0.262,-557200.4306434597,1367007.146458446
2022_1_19_-4.9589_12.1623,26.648097808840937,-0.634,0.262,-556272.768223893,1367007.146458446
2022_1_19_-4.9589_12.1623,26.84074714744386,-0.459,0.263,-555345.1058043265,1367007.146458446
2022_1_19_-4.9589_12.1623,37.994483076854806,-0.459,0.263,-554417.4433847598,1367007.146458446
2022_1_19_-4.9589_12.1623,45.44636939754404,-0.459,0.263,-553489.7809651932,1367007.146458446
2022_1_19_-4.9589_12.1623,48.755461201895386,-0.556,0.263,-552562.1185456265,1367007.146458446
2022_1_19_-4.9589_12.1623,49.40927838109612,-0.556,0.263,-551634.4561260599,1367007.146458446
2022_1_19_-4.9589_12.1623,53.77228003332667,-0.556,0.263,-550706.7937064932,1367007.146458446
2022_1_19_-4.9589_12.1623,56.79185963747633,-0.175,0.272,-549779.1312869266,1367007.146458446
2022_1_19_-4.9589_12.1623,60.13916393560273,-0.175,0.272,-548851.4688673599,1367007.146458446
2022_1_19_-4.9589_12.1623,69.11531163823324,-0.175,0.272,-547923.8064477934,1367007.146458446
2022_1_19_-4.9589_12.1623,110.41012767045733,-0.226,0.263,-546996.1440282267,1367007.146458446
2022_1_19_-4.9589_12.1623,190.64704154669423,-0.226,0.263,-546068.4816086602,1367007.146458446
2022_1_19_-4.9589_12.1623,199.15274367859612,-0.445,0.261,-545140.8191890935,1367007.146458446
2022_1_19_-4.9589_12.1623,223.0152067767468,-0.445,0.261,-544213.1567695269,1367007.146458446
2022_1_19_-4.9589_12.1623,231.85960231459453,-0.445,0.261,-543285.4943499602,1367007.146458446
2022_1_19_-4.9589_12.1623,58.695914206737676,-0.431,0.259,-542602.4861265742,1366810.1241044588
2022_1_19_-4.9589_12.1623,18.442308217700717,-0.927,0.260,-561622.9669297052,1365859.6418823435
2022_1_19_-4.9589_12.1623,41.04196559793223,-0.927,0.260,-560911.0803217262,1366058.110666384
2022_1_19_-4.9589_12.1623,42.80598537997551,-0.865,0.286,-559983.4179021596,1366058.110666384
2022_1_19_-4.9589_12.1623,36.11483451946671,-0.865,0.286,-559055.755482593,1366058.110666384
2022_1_19_-4.9589_12.1623,35.839496925704,-0.865,0.286,-558128.0930630263,1366058.110666384
2022_1_19_-4.9589_12.1623,31.950891589218553,-0.865,0.286,-557200.4306434597,1366058.110666384
