space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd
2021_10_17_-3.3719_16.5736,MLI,Mali,MLI.9.2_1,Timbuktu,2021,10,17,Mali,Tombouctou,Douekire,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 17 October 2021, JNIM militants destroyed a telecommunications antenna in the village of Douekire (Dire, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2023_3_3_-3.0788_14.3992,MLI,Mali,MLI.6.5_1,Mopti,2023,3,3,Mali,Mopti,Madougou,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Property destruction: On 3 March 2023, JNIM sabotaged and took away a Malitel communication antenna in Madougou (Koro, Mopti). They abandoned the equipment later after being allegedly asked by their commander to leave it.",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_7_25_0.2151_15.9301,MLI,Mali,MLI.2.3_1,Gao,2022,7,25,Mali,Gao,Gargouna,communications,installation,Looting/property destruction,ransacking,looting,"Looting: On 25 July 2022, an unidentified armed group vandalized a telecommunications installation and seized batteries and solar panels in the village of Gargouna (Gao, Gao).",0,Unidentified Armed Group (Mali),,Political Militias,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2020_4_25_0.2151_15.9301,MLI,Mali,MLI.2.3_1,Gao,2020,4,25,Mali,Gao,Gargouna,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 25 April 2020, presumed ISGS militants destroyed a telecommunications antenna in Gargouna (Gabero, Gao).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2021_10_17_-3.2444_16.648,MLI,Mali,MLI.9.5_1,Timbuktu,2021,10,17,Mali,Tombouctou,Tintelout,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 17 October 2021, JNIM militants destroyed a telecommunications antenna in the village of Tintelout (Tombouctou, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_15_-4.466_13.0179,MLI,Mali,MLI.7.7_1,Ségou,2022,1,15,Mali,Segou,Mandiakuy,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 15 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the town of Mandiakuy (Tominian, Segou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2017_8_22_-3.7478_16.1289,MLI,Mali,MLI.9.2_1,Timbuktu,2017,8,22,Mali,Tombouctou,Tonka,communications,installation,Armed clash,sabotage,unknown,"Gendarmerie post in Tonka (Goundam) attacked by gunmen on motorbike/s around 2h this morning, telecomms sabotaged, casualties unknown",0,Unidentified Armed Group (Mali),,Political Militias,Police Forces of Mali (2013-2020) Gendarmerie,,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_16_-3.6264_13.7407,MLI,Mali,MLI.6.2_1,Mopti,2022,1,16,Mali,Mopti,Diallassagou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 January 2022, presumed JNIM militants burned a telecommunications antenna in the commune of Diallassagou, location coded as Diallassagou (Bankass, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_21_-3.0063_14.1333,MLI,Mali,MLI.6.5_1,Mopti,2022,1,21,Mali,Mopti,Bondo,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 21 January 2022, presumed JNIM militants detonated a telecommunications antenna in the village of Bondo (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2020_2_12_0.8908_15.5821,MLI,Mali,MLI.2.1_1,Gao,2020,2,12,Mali,Gao,Tin Hama,communications,radio station,Attack on civilians,arson,burned,"On 12 February 2020, presumed ISGS militants attacked Tin-Hamma (Ansongo, Gao). The militants burned administrative documents at a school and at the mayor's office. The local radio was also set ablaze.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),Government of Mali (2013-2020); Labour Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_5_3_-5.6052_14.9822,MLI,Mali,MLI.7.4_1,Ségou,2022,5,3,Mali,Segou,Lougui,communications,other,Looting/property destruction,sabotage,disruption,"Looting: On 3 May 2022, Wagner forces raided the Tuareg village of Lougui (Niono, Segou). The force searched the village, pillaged the market and seized belongings including valuables and cash from residents. The mercenaries had cut the Nampala telecommu",0,Wagner Group,,External and Other Forces,Civilians (Mali),Tuareg Ethnic Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_4_25_-3.7893_14.0914,MLI,Mali,MLI.6.1_1,Mopti,2022,4,25,Mali,Mopti,Ouo-Sarre,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Property destruction: On 25 April 2022, presumed JNIM militants sabotaged a telecommunications antenna by destroying solar panels in the village of Ouo-Sarre (Bandiagara, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,1.0,40000,15000,5000,30000,1000,91000
2022_1_19_-2.9725_14.2333,MLI,Mali,MLI.6.5_1,Mopti,2022,1,19,Mali,Mopti,Dangatene,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the village of Dangatene (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_7_25_0.0708_16.1515,MLI,Mali,MLI.2.3_1,Gao,2022,7,25,Mali,Gao,Tacharane,communications,installation,Looting/property destruction,looting,looting,"Looting: On 25 July 2022, an unidentified armed group vandalized a telecommunications installation and seized batteries and solar panels in the village of Tacharane (Gao, Gao).",0,Unidentified Armed Group (Mali),,Political Militias,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_19_-4.9589_12.1623,MLI,Mali,MLI.8.7_1,Sikasso,2022,1,19,Mali,Sikasso,Tandio,communications,antenna,Abduction/forced disappearance,sabotage,unknown,"On 19 January 2022, presumed JNIM militants abducted a civilian and sabotaged a telecommunications antenna in the village of Tandio (Yorosso, Sikasso).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,2.0,40000,15000,5000,30000,1000,91000
