space_time_id,pop,wealth_usd,wealth_cfa,usd_to_cfa
2012_5_1_-8.0722_12.7482,190152.7612279032,164613573,263388,0.0016
2015_12_17_-3.0056_16.7705,103821.92115002898,80095514,128151,0.0016
2017_10_23_-4.4005_13.6933,13134.891027897405,4801573,7685,0.0016
2017_8_22_-3.7478_16.1289,34353.45674554268,17194577,27518,0.0016
2019_6_26_-2.1354_14.2793,15712.227071305286,6525709,10434,0.0016
2020_11_28_0.6941_15.4729,4785.639823461633,1730533,2775,0.0016
2020_12_31_-3.6102_14.3493,30284.440713864467,23967673,38348,0.0016
2020_2_12_0.8908_15.5821,5330.486128381884,1969287,3141,0.0016
2020_6_24_0.7464_15.3217,3247.139070919736,1211307,1934,0.0016
2021_10_15_-3.9728_16.6877,2891.33077703593,1223445,1949,0.0016
2021_12_20_-2.2198_15.0766,7550.339715544643,3066048,4911,0.0016
2021_3_16_-2.8059_14.3467,7743.944624407359,2893107,4626,0.0016
2021_7_10_-3.709_13.6185,20364.923661414152,7767069,12424,0.0016
2021_7_25_-3.766_13.5025,21011.36911217088,8843811,14150,0.0016
2021_8_13_-0.4769_16.2036,827.6506405577313,305638,476,0.0016
2021_8_13_-3.9484_15.2615,14221.463555434519,5519100,8839,0.0016
2021_8_19_-4.3618_12.7903,8853.573162192568,2998823,4790,0.0016
2021_9_27_-4.2628_15.3684,12486.936392538815,6013465,9625,0.0016
2021_9_28_-4.9118_15.7118,12955.084852328155,7781432,12457,0.0016
2022_1_12_-0.1061_16.6053,13184.192648477489,5640548,9028,0.0016
2022_1_15_-4.466_13.0179,17187.372513258862,5677931,9086,0.0016
2022_1_16_-3.4418_13.8162,20617.346805073612,6777045,10847,0.0016
2022_1_16_-3.6264_13.7407,26583.009225569018,8459935,13539,0.0016
2022_1_16_-3.8308_13.3821,8283.696096674767,3293157,5265,0.0016
2022_1_18_-2.9051_14.4111,10388.991802210214,3520295,5638,0.0016
2022_1_19_-0.6354_16.92,3339.8607530500194,1218025,1940,0.0016
2022_1_19_-2.9725_14.2333,10395.477350513363,3719601,5954,0.0016
2022_1_19_-4.9589_12.1623,25313.40879565388,9714972,15541,0.0016
2022_1_21_-2.9517_14.9951,46595.08296641613,35581336,56931,0.0016
2022_1_21_-3.0063_14.1333,18386.76199460932,7102140,11364,0.0016
2022_1_30_-5.2547_14.8252,3175.1876717897376,1133603,1809,0.0016
2022_3_10_-3.2359_16.09,10680.2958657042,3999476,6401,0.0016
2022_3_3_-1.7481_16.9494,9555.605470868719,4144879,6633,0.0016
2022_4_17_-4.6738_12.8592,14573.241917831834,5047926,8078,0.0016
2022_4_25_-3.7893_14.0914,11027.954769181906,4272352,6832,0.0016
2022_5_17_3.0224_15.422,6086.9028920156725,2564025,4105,0.0016
2022_5_2_-4.6745_13.1361,13071.160240706218,4536432,7264,0.0016
2022_5_3_-5.6052_14.9822,2422.924377435945,878609,1414,0.0016
2022_5_9_0.549_15.4992,6153.396016453881,2352576,3757,0.0016
2022_8_16_-1.9231_16.8778,14329.427179885493,6000376,9604,0.0016
2022_9_7_1.5167_16.5333,2325.963372675256,1022196,1624,0.0016
2023_3_10_-6.7275_14.1137,1284.8626252752053,512686,827,0.0016
2023_3_1_-3.0552_14.3089,15463.280762362234,5700365,9130,0.0016
2023_3_3_-3.0788_14.3992,15054.253452073268,5886625,9417,0.0016
