space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,0.004428512235169,-0.237,0.275,1,0,0.0016
2022_1_19_-4.9589_12.1623,0.71700120666609,-0.472,0.26,286,0,0.0016
2022_1_19_-4.9589_12.1623,0.86278501602442,-0.472,0.26,344,1,0.0016
2022_1_19_-4.9589_12.1623,0.048576588135063,-0.472,0.26,19,0,0.0016
2022_1_19_-4.9589_12.1623,3.22386838748618,-0.692,0.259,860,1,0.0016
2022_1_19_-4.9589_12.1623,13.72075151641359,-0.692,0.259,3663,6,0.0016
2022_1_19_-4.9589_12.1623,18.329785968922376,-0.237,0.275,7313,12,0.0016
2022_1_19_-4.9589_12.1623,23.5846276109025,-0.237,0.275,9410,15,0.0016
2022_1_19_-4.9589_12.1623,26.28962906840881,-0.472,0.26,10489,17,0.0016
2022_1_19_-4.9589_12.1623,25.032371497325386,-0.472,0.26,9987,16,0.0016
2022_1_19_-4.9589_12.1623,20.70428472576825,-0.472,0.26,8261,13,0.0016
2022_1_19_-4.9589_12.1623,15.727949152076958,-0.472,0.26,6275,10,0.0016
2022_1_19_-4.9589_12.1623,9.739760123283991,-0.889,0.276,2600,4,0.0016
2022_1_19_-4.9589_12.1623,2.523341371078317,-0.889,0.276,673,1,0.0016
2022_1_19_-4.9589_12.1623,1.434454001597019,-0.52,0.259,572,1,0.0016
2022_1_19_-4.9589_12.1623,34.1864936007187,-0.692,0.259,9127,15,0.0016
2022_1_19_-4.9589_12.1623,47.127992188776425,-0.692,0.259,12583,20,0.0016
2022_1_19_-4.9589_12.1623,37.61358087032032,-0.692,0.259,10042,16,0.0016
2022_1_19_-4.9589_12.1623,36.77927728280756,-0.237,0.275,14674,23,0.0016
2022_1_19_-4.9589_12.1623,35.77563531393496,-0.237,0.275,14274,23,0.0016
2022_1_19_-4.9589_12.1623,36.381887008077655,-0.472,0.26,14516,23,0.0016
2022_1_19_-4.9589_12.1623,32.737138006976856,-0.472,0.26,13062,21,0.0016
2022_1_19_-4.9589_12.1623,28.364729767530164,-0.472,0.26,11317,18,0.0016
2022_1_19_-4.9589_12.1623,23.28066666805035,-0.52,0.372,9288,15,0.0016
2022_1_19_-4.9589_12.1623,20.800627940695225,-0.52,0.372,8299,13,0.0016
2022_1_19_-4.9589_12.1623,18.768497768853056,-0.889,0.276,5011,8,0.0016
2022_1_19_-4.9589_12.1623,11.78203271144199,-0.889,0.276,3145,5,0.0016
2022_1_19_-4.9589_12.1623,1.600648105044377,-0.889,0.276,427,1,0.0016
2022_1_19_-4.9589_12.1623,10.30397966161576,-0.233,0.32,4111,7,0.0016
2022_1_19_-4.9589_12.1623,42.676633506196296,-0.233,0.32,17027,27,0.0016
2022_1_19_-4.9589_12.1623,136.59420503379746,-0.128,0.328,74443,119,0.0016
2022_1_19_-4.9589_12.1623,143.99419196700845,-0.128,0.328,78476,126,0.0016
2022_1_19_-4.9589_12.1623,65.15994021050194,-0.128,0.328,35512,57,0.0016
2022_1_19_-4.9589_12.1623,50.4258729458703,-0.184,0.373,27482,44,0.0016
2022_1_19_-4.9589_12.1623,90.45034658356262,-0.184,0.373,49295,79,0.0016
2022_1_19_-4.9589_12.1623,120.33285866862208,-0.214,0.298,48012,77,0.0016
2022_1_19_-4.9589_12.1623,66.08850413742624,-0.214,0.298,26369,42,0.0016
2022_1_19_-4.9589_12.1623,39.48159483538221,-0.214,0.298,15753,25,0.0016
2022_1_19_-4.9589_12.1623,32.64486901219728,-0.52,0.372,13025,21,0.0016
2022_1_19_-4.9589_12.1623,27.66034341502407,-0.52,0.372,11036,18,0.0016
2022_1_19_-4.9589_12.1623,24.158845678798368,-0.52,0.372,9639,15,0.0016
2022_1_19_-4.9589_12.1623,25.911814834552622,-0.575,0.325,10338,17,0.0016
2022_1_19_-4.9589_12.1623,37.37427071807474,-0.575,0.325,14912,24,0.0016
2022_1_19_-4.9589_12.1623,8.98341564647169,-0.764,0.386,2398,4,0.0016
2022_1_19_-4.9589_12.1623,18.973032080062477,-0.233,0.32,7570,12,0.0016
2022_1_19_-4.9589_12.1623,119.78523971386647,-0.233,0.32,47794,76,0.0016
2022_1_19_-4.9589_12.1623,148.50918475908318,-0.233,0.32,59255,95,0.0016
2022_1_19_-4.9589_12.1623,447.8648624046513,-0.128,0.328,244086,391,0.0016
2022_1_19_-4.9589_12.1623,485.27490549876575,-0.128,0.328,264474,423,0.0016
2022_1_19_-4.9589_12.1623,137.5656411430292,-0.128,0.328,74973,120,0.0016
2022_1_19_-4.9589_12.1623,57.386466751343406,-0.184,0.373,31275,50,0.0016
2022_1_19_-4.9589_12.1623,147.11142169735095,-0.184,0.373,80175,128,0.0016
2022_1_19_-4.9589_12.1623,205.24097951819604,-0.214,0.298,81891,131,0.0016
2022_1_19_-4.9589_12.1623,148.67806909308533,-0.214,0.298,59322,95,0.0016
2022_1_19_-4.9589_12.1623,44.08386627952739,-0.214,0.298,17589,28,0.0016
2022_1_19_-4.9589_12.1623,37.35760094800765,-0.52,0.372,14905,24,0.0016
2022_1_19_-4.9589_12.1623,41.44601255872544,-0.52,0.372,16536,26,0.0016
2022_1_19_-4.9589_12.1623,52.77836297827293,-0.52,0.372,21058,34,0.0016
2022_1_19_-4.9589_12.1623,49.61481478198487,-0.575,0.325,19796,32,0.0016
2022_1_19_-4.9589_12.1623,50.65401772730781,-0.575,0.325,20210,32,0.0016
2022_1_19_-4.9589_12.1623,59.195420353172686,-0.764,0.386,15805,25,0.0016
2022_1_19_-4.9589_12.1623,18.955664821134278,-0.764,0.386,5061,8,0.0016
2022_1_19_-4.9589_12.1623,1.178418082925295,-0.592,0.297,470,1,0.0016
2022_1_19_-4.9589_12.1623,53.599004141188765,-0.233,0.32,21386,34,0.0016
2022_1_19_-4.9589_12.1623,47.25105555441458,-0.233,0.32,18853,30,0.0016
2022_1_19_-4.9589_12.1623,125.08630915317389,-0.233,0.32,49909,80,0.0016
2022_1_19_-4.9589_12.1623,377.9303059820827,-0.128,0.328,205972,330,0.0016
2022_1_19_-4.9589_12.1623,396.98743637653865,-0.128,0.328,216358,346,0.0016
