space_time_id,direct_cost,indirect_cost_usd,value_at_risk,protection_costs
2020_1_27_3.3485_15.21,91000,5236.951232876712,96236.95123287672,25714.285714285714
2022_7_5_1.0623_14.0868,91000,39615.45863013699,130615.458630137,25714.285714285714
2022_2_17_1.5666_13.6046,91000,33390.47178082192,124390.47178082191,25714.285714285714
2022_7_13_1.8685_12.8711,91000,17775.746301369865,108775.74630136986,25714.285714285714
2022_5_28_1.9168_14.2599,91000,49136.52493150685,140136.52493150684,25714.285714285714
2020_5_31_4.5024_15.7196,91000,2910.392876712329,93910.39287671233,25714.285714285714
2021_12_22_0.5354_14.6522,91000,43768.60273972603,134768.60273972602,25714.285714285714
2022_8_18_0.9295_14.2063,91000,65585.34739726028,156585.34739726028,25714.285714285714
2022_1_30_1.1245_13.8711,91000,253743.50630136987,344743.50630136987,25714.285714285714
2023_1_16_3.7855_15.0771,91000,7501.568219178083,98501.56821917808,25714.285714285714
2019_5_13_1.9508_14.6806,91000,55204.50082191781,146204.5008219178,25714.285714285714
2022_11_13_2.0112_13.0957,91000,70252.73260273972,161252.7326027397,25714.285714285714
2022_1_20_5.0403_15.4454,91000,14255.156712328768,105255.15671232877,25714.285714285714
2020_2_13_2.2729_14.6744,91000,22761.51452054795,113761.51452054795,25714.285714285714
