space_time_id,pop,rwi,error,lon_tile,lat_tile
2022_7_13_1.8685_12.8711,0.662403877016586,-0.436,0.274,207277.02510506765,1454943.090904054
2022_7_13_1.8685_12.8711,0.915706629853799,-0.436,0.274,208121.0654990105,1454952.8117085397
2022_7_13_1.8685_12.8711,0.308734777828685,-0.436,0.274,208844.50894117443,1454943.090904054
2022_7_13_1.8685_12.8711,0.822599502119379,-0.732,0.272,203857.740231039,1454056.9280693352
2022_7_13_1.8685_12.8711,9.160625590575915,-0.732,0.272,204467.17822389898,1454194.6621771003
2022_7_13_1.8685_12.8711,16.78269818092316,-0.732,0.272,205338.0782403106,1454235.963057741
2022_7_13_1.8685_12.8711,18.615145663884096,-0.732,0.272,206265.74065987725,1454364.1329577942
2022_7_13_1.8685_12.8711,16.680078979779577,-0.574,0.272,207193.4030794439,1454445.585020649
2022_7_13_1.8685_12.8711,12.275563093678784,-0.574,0.272,208121.0654990105,1454448.8308254844
2022_7_13_1.8685_12.8711,11.822189747207105,-0.574,0.272,209048.72791857712,1454427.696145805
2022_7_13_1.8685_12.8711,10.220617750886849,-0.574,0.272,209976.39033814377,1454333.924965285
2022_7_13_1.8685_12.8711,7.751774837258858,-0.574,0.272,210904.0527577104,1454192.812714384
2022_7_13_1.8685_12.8711,4.771441895237293,-0.574,0.272,211714.65429823258,1454137.623975918
2022_7_13_1.8685_12.8711,0.075689420334869,-0.574,0.272,212324.09229109256,1453999.8898681528
2022_7_13_1.8685_12.8711,0.019734941525669,-1.005,0.280,202077.42438019684,1453041.554713414
2022_7_13_1.8685_12.8711,8.029604217988174,-1.005,0.280,202875.38319780433,1453496.323943092
2022_7_13_1.8685_12.8711,21.35533404343864,-0.732,0.272,203482.75340117735,1453344.712018542
2022_7_13_1.8685_12.8711,23.75444677299048,-0.732,0.272,204410.41582074398,1453496.960072814
2022_7_13_1.8685_12.8711,21.65010343512371,-0.732,0.272,205338.0782403106,1453496.960072814
2022_7_13_1.8685_12.8711,18.469002640714372,-0.712,0.273,206265.74065987725,1453496.960072814
2022_7_13_1.8685_12.8711,17.598992828747004,-0.712,0.273,207193.4030794439,1453496.960072814
2022_7_13_1.8685_12.8711,13.419134412127804,-0.574,0.272,208121.0654990105,1453496.960072814
2022_7_13_1.8685_12.8711,11.825856471216564,-0.574,0.272,209048.72791857712,1453496.960072814
2022_7_13_1.8685_12.8711,11.786905395523272,-0.574,0.272,209976.39033814377,1453496.960072814
2022_7_13_1.8685_12.8711,12.662906709025512,-0.574,0.272,210904.0527577104,1453496.960072814
2022_7_13_1.8685_12.8711,17.96966088176222,-0.574,0.272,211831.715177277,1453496.960072814
2022_7_13_1.8685_12.8711,15.80719706113638,-0.574,0.272,212759.37759684364,1453272.42893764
2022_7_13_1.8685_12.8711,4.973814933195612,-0.493,0.273,213491.90184496,1453172.644579536
2022_7_13_1.8685_12.8711,0.451886387709092,-0.781,0.272,201105.04819803708,1452186.7590811856
2022_7_13_1.8685_12.8711,9.69272776811523,-0.781,0.272,201750.66315037766,1452516.277442067
2022_7_13_1.8685_12.8711,19.000968710458455,-0.781,0.272,202555.0909816107,1452545.1211430365
2022_7_13_1.8685_12.8711,23.478539734865972,-0.999,0.272,203482.75340117735,1452545.1211430365
2022_7_13_1.8685_12.8711,23.157326831207204,-0.999,0.272,204410.41582074398,1452545.1211430365
2022_7_13_1.8685_12.8711,18.479241309671007,-0.999,0.272,205338.0782403106,1452545.1211430365
2022_7_13_1.8685_12.8711,18.393480231424164,-0.712,0.273,206265.74065987725,1452545.1211430365
2022_7_13_1.8685_12.8711,18.20481529042114,-0.712,0.273,207193.4030794439,1452545.1211430365
2022_7_13_1.8685_12.8711,14.78103122034726,-0.561,0.288,208121.0654990105,1452545.1211430365
2022_7_13_1.8685_12.8711,11.727390838990054,-0.561,0.288,209048.72791857712,1452545.1211430365
2022_7_13_1.8685_12.8711,11.72897476558691,-0.561,0.288,209976.39033814377,1452545.1211430365
2022_7_13_1.8685_12.8711,12.69270020938732,-0.561,0.288,210904.0527577104,1452545.1211430365
2022_7_13_1.8685_12.8711,17.40779622629002,-0.561,0.288,211831.715177277,1452545.1211430365
2022_7_13_1.8685_12.8711,19.626706449039304,-0.504,0.273,212759.37759684364,1452545.1211430365
2022_7_13_1.8685_12.8711,19.647431276274812,-0.493,0.273,213687.0400164103,1452476.2025926295
2022_7_13_1.8685_12.8711,9.58798156196028,-0.493,0.273,214429.42005008808,1452410.1465538067
2022_7_13_1.8685_12.8711,0.000168288853993,-0.493,0.273,215079.37158690908,1452071.0587052284
2022_7_13_1.8685_12.8711,0.253148263673215,-0.796,0.272,200200.77137074538,1451212.2443869505
2022_7_13_1.8685_12.8711,11.776346903214405,-0.781,0.272,200879.15260055842,1451711.351426892
2022_7_13_1.8685_12.8711,16.593408569286023,-0.781,0.272,201627.42856204405,1451593.31401389
2022_7_13_1.8685_12.8711,18.084306100618466,-0.781,0.272,202555.0909816107,1451593.31401389
2022_7_13_1.8685_12.8711,22.378670178351342,-0.999,0.272,203482.75340117735,1451593.31401389
2022_7_13_1.8685_12.8711,19.71648078703661,-0.999,0.272,204410.41582074398,1451593.31401389
2022_7_13_1.8685_12.8711,18.220638807887532,-0.999,0.272,205338.0782403106,1451593.31401389
2022_7_13_1.8685_12.8711,18.167506202774618,-0.712,0.273,206265.74065987725,1451593.31401389
2022_7_13_1.8685_12.8711,18.367278061695817,-0.712,0.273,207193.4030794439,1451593.31401389
2022_7_13_1.8685_12.8711,16.105578839065775,-0.561,0.288,208121.0654990105,1451593.31401389
2022_7_13_1.8685_12.8711,11.746180789489546,-0.561,0.288,209048.72791857712,1451593.31401389
2022_7_13_1.8685_12.8711,11.334695287086257,-0.561,0.288,209976.39033814377,1451593.31401389
2022_7_13_1.8685_12.8711,12.479647352765424,-0.561,0.288,210904.0527577104,1451593.31401389
2022_7_13_1.8685_12.8711,17.438757579060816,-0.504,0.273,211831.715177277,1451593.31401389
2022_7_13_1.8685_12.8711,18.687532102394048,-0.504,0.273,212759.37759684364,1451593.31401389
2022_7_13_1.8685_12.8711,19.36570623278932,-0.439,0.274,213687.0400164103,1451593.31401389
2022_7_13_1.8685_12.8711,19.73724881512724,-0.493,0.273,214614.7024359769,1451593.31401389
2022_7_13_1.8685_12.8711,9.066977916826549,-0.493,0.273,215242.38144568383,1451711.351426892
2022_7_13_1.8685_12.8711,11.671605144961312,-0.796,0.272,200063.23074362346,1450841.3405539743
