space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_7_13_1.8685_12.8711,0.662403877016586,-0.436,0.274,209,0,0.0016
2022_7_13_1.8685_12.8711,0.915706629853799,-0.436,0.274,289,0,0.0016
2022_7_13_1.8685_12.8711,0.308734777828685,-0.436,0.274,97,0,0.0016
2022_7_13_1.8685_12.8711,0.822599502119379,-0.732,0.272,172,0,0.0016
2022_7_13_1.8685_12.8711,9.160625590575917,-0.732,0.272,1923,3,0.0016
2022_7_13_1.8685_12.8711,16.78269818092316,-0.732,0.272,3524,6,0.0016
2022_7_13_1.8685_12.8711,18.615145663884096,-0.732,0.272,3909,6,0.0016
2022_7_13_1.8685_12.8711,16.680078979779577,-0.574,0.272,5270,8,0.0016
2022_7_13_1.8685_12.8711,12.275563093678784,-0.574,0.272,3879,6,0.0016
2022_7_13_1.8685_12.8711,11.822189747207103,-0.574,0.272,3735,6,0.0016
2022_7_13_1.8685_12.8711,10.220617750886849,-0.574,0.272,3229,5,0.0016
2022_7_13_1.8685_12.8711,7.751774837258858,-0.574,0.272,2449,4,0.0016
2022_7_13_1.8685_12.8711,4.771441895237293,-0.574,0.272,1507,2,0.0016
2022_7_13_1.8685_12.8711,0.075689420334869,-0.574,0.272,23,0,0.0016
2022_7_13_1.8685_12.8711,0.019734941525669,-1.005,0.28,6,0,0.0016
2022_7_13_1.8685_12.8711,8.029604217988174,-1.005,0.28,2537,4,0.0016
2022_7_13_1.8685_12.8711,21.35533404343864,-0.732,0.272,4484,7,0.0016
2022_7_13_1.8685_12.8711,23.75444677299048,-0.732,0.272,4988,8,0.0016
2022_7_13_1.8685_12.8711,21.65010343512371,-0.732,0.272,4546,7,0.0016
2022_7_13_1.8685_12.8711,18.46900264071437,-0.712,0.273,3878,6,0.0016
2022_7_13_1.8685_12.8711,17.598992828747004,-0.712,0.273,3695,6,0.0016
2022_7_13_1.8685_12.8711,13.419134412127804,-0.574,0.272,4240,7,0.0016
2022_7_13_1.8685_12.8711,11.825856471216564,-0.574,0.272,3736,6,0.0016
2022_7_13_1.8685_12.8711,11.786905395523272,-0.574,0.272,3724,6,0.0016
2022_7_13_1.8685_12.8711,12.662906709025512,-0.574,0.272,4001,6,0.0016
2022_7_13_1.8685_12.8711,17.96966088176222,-0.574,0.272,5678,9,0.0016
2022_7_13_1.8685_12.8711,15.80719706113638,-0.574,0.272,4995,8,0.0016
2022_7_13_1.8685_12.8711,4.973814933195612,-0.493,0.273,1571,3,0.0016
2022_7_13_1.8685_12.8711,0.451886387709092,-0.781,0.272,94,0,0.0016
2022_7_13_1.8685_12.8711,9.69272776811523,-0.781,0.272,2035,3,0.0016
2022_7_13_1.8685_12.8711,19.00096871045845,-0.781,0.272,3990,6,0.0016
2022_7_13_1.8685_12.8711,23.47853973486597,-0.999,0.272,4930,8,0.0016
2022_7_13_1.8685_12.8711,23.157326831207204,-0.999,0.272,4863,8,0.0016
2022_7_13_1.8685_12.8711,18.479241309671007,-0.999,0.272,3880,6,0.0016
2022_7_13_1.8685_12.8711,18.393480231424164,-0.712,0.273,3862,6,0.0016
2022_7_13_1.8685_12.8711,18.20481529042114,-0.712,0.273,3823,6,0.0016
2022_7_13_1.8685_12.8711,14.78103122034726,-0.561,0.288,4670,7,0.0016
2022_7_13_1.8685_12.8711,11.727390838990054,-0.561,0.288,3705,6,0.0016
