radio,mcc,net,area,cell,unit,lon,lat,GID_0
GSM,613,2,101,2262,0,-1.486005,12.340541,BFA
GSM,613,2,101,523,0,-1.493794,12.34588,BFA
GSM,613,2,101,4582,0,-1.499673,12.353472,BFA
GSM,613,2,101,2061,0,-1.4920806884766,12.34245300293,BFA
GSM,613,2,101,4592,0,-1.497795,12.362321,BFA
GSM,613,2,101,672,0,-1.502431,12.361981,BFA
GSM,613,2,101,441,0,-1.486101,12.37999,BFA
GSM,613,2,101,3622,0,-1.480867,12.380221,BFA
GSM,613,2,101,5893,0,-1.490904,12.3632,BFA
GSM,613,1,5,1031,0,-1.50238,12.298508,BFA
GSM,613,2,601,871,0,-2.091637,11.112213,BFA
GSM,613,2,601,874,0,-2.0908355712891,11.11198425293,BFA
GSM,613,2,101,632,0,-1.489521,12.37842,BFA
GSM,613,2,101,4361,0,-1.51235,12.377002,BFA
GSM,613,2,700,537,0,-4.304581,11.177628,BFA
GSM,613,2,700,531,0,-4.304352,11.177559,BFA
GSM,613,2,101,4362,0,-1.511307,12.374245,BFA
GSM,613,1,2,2331,0,-1.549759,12.378129,BFA
UMTS,613,2,3001,9906579,0,-1.544122,12.375113,BFA
UMTS,613,2,3001,9906578,0,-1.544523,12.374811,BFA
UMTS,613,2,3001,9907977,0,-1.550287,12.344777,BFA
UMTS,613,2,3001,9906037,0,-1.526047,12.364975,BFA
GSM,613,1,20,8631,0,-4.303008,11.165043,BFA
UMTS,613,1,120,76348,0,-4.312378,11.162685,BFA
UMTS,613,1,120,76299,0,-4.314728,11.149063,BFA
UMTS,613,1,120,76302,0,-4.3141937255859,11.149063110352,BFA
GSM,613,1,20,8666,0,-4.313578,11.166679,BFA
GSM,613,1,20,8711,0,-4.315175,11.149063,BFA
GSM,613,1,20,8712,0,-4.3155670166016,11.149063110352,BFA
GSM,613,1,20,8662,0,-4.311996,11.17186,BFA
UMTS,613,1,100,75651,0,-1.525211,12.371773,BFA
UMTS,613,1,100,75689,0,-1.524451,12.372273,BFA
UMTS,613,1,100,75690,0,-1.523209,12.372894,BFA
UMTS,613,1,100,75950,0,-1.523845,12.371173,BFA
UMTS,613,1,100,75687,0,-1.52298,12.372665,BFA
UMTS,613,1,100,75692,0,-1.52401,12.37175,BFA
UMTS,613,1,100,75947,0,-1.519671,12.36892,BFA
UMTS,613,1,100,75648,0,-1.525589,12.372299,BFA
GSM,613,3,300,40023,0,-1.522842,12.367172,BFA
GSM,613,3,300,40003,0,-1.5209197998047,12.368545532227,BFA
UMTS,613,2,3001,9909449,0,-1.519727,12.316624,BFA
UMTS,613,2,3001,9908249,0,-1.518825,12.316258,BFA
GSM,613,2,101,3513,0,-1.522522,12.317123,BFA
GSM,613,2,102,411,0,-1.521082,12.320508,BFA
UMTS,613,2,3001,9906347,0,-1.525418,12.315246,BFA
