GID_0,NAME_0,GID_1,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,latitude,longitude,coordinate,source,radio,mcc,net,area,distance_to_event_m
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,30,Burkina Faso,Centre-Nord,Sian,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 30 October 2022, presumed JNIM militants vandalized a bar and a telecommunication antenna in the village of Sian (Kaya, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.1021,-1.2239,"13.1021,-1.2239",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,301.0,7565.087383632851
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
